"","Si_No"
"1",0
"2",0
"3",1
"4",1
"5",0
"6",0
"7",0
"8",1
"9",1
"10",1
"11",0
"12",0
"13",0
"14",1
"15",1
"16",1
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",1
"28",0
"29",1
"30",0
"31",0
"32",0
"33",1
"34",1
"35",1
"36",0
"37",1
"38",1
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",1
"46",1
"47",1
"48",0
"49",0
"50",0
"51",1
"52",1
"53",0
"54",0
"55",0
"56",1
"57",1
"58",1
"59",0
"60",1
"61",0
"62",0
"63",0
"64",1
"65",0
"66",0
"67",1
"68",0
"69",1
"70",0
"71",0
"72",1
"73",1
"74",0
"75",1
"76",0
"77",0
"78",1
"79",0
"80",1
"81",0
"82",0
"83",0
"84",0
"85",0
"86",1
"87",0
"88",0
"89",0
"90",0
"91",0
"92",1
"93",0
"94",0
"95",0
"96",0
"97",1
"98",1
"99",0
"100",1
"101",1
"102",0
"103",0
"104",1
"105",1
"106",1
"107",0
"108",1
"109",1
"110",0
"111",0
"112",0
"113",1
"114",0
"115",0
"116",1
"117",0
"118",1
"119",0
"120",1
"121",0
"122",0
"123",0
"124",0
"125",0
"126",1
"127",0
"128",0
"129",0
"130",0
"131",1
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",1
"143",1
"144",1
"145",0
"146",1
"147",1
"148",0
"149",0
"150",1
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",1
"158",0
"159",0
"160",1
"161",0
"162",0
"163",1
"164",1
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",1
"176",1
"177",1
"178",0
"179",0
"180",1
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",1
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0
"201",1
"202",0
"203",1
"204",1
"205",0
"206",1
"207",1
"208",0
"209",0
"210",1
"211",0
"212",0
"213",0
"214",1
"215",1
"216",1
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",1
"228",1
"229",1
"230",0
"231",0
"232",1
"233",0
"234",0
"235",0
"236",1
"237",0
"238",1
"239",1
"240",0
"241",0
"242",0
"243",1
"244",1
"245",0
"246",0
"247",0
"248",1
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",1
"257",1
"258",0
"259",0
"260",0
"261",1
"262",1
"263",1
"264",0
"265",1
"266",1
"267",1
"268",0
"269",0
"270",0
"271",0
"272",1
"273",1
"274",0
"275",0
"276",0
"277",1
"278",1
"279",0
"280",1
"281",1
"282",0
"283",1
"284",1
"285",1
"286",0
"287",0
"288",0
"289",0
